"Table 3-24:  CO2, CH4, and N2O Emissions from the Incineration of Waste (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Waste Product,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,CO2,8.0,8.0,9.5,9.8,10.8,11.3,11.9,11.8,10.8,11.0,11.1,11.4,11.8,12.1,12.4,12.5,12.5,12.7,11.9,11.3,11.0,10.6,10.4,10.4,10.6,10.7
,Plastics,5.6,5.3,6.1,5.8,6.1,6.3,6.6,6.7,5.9,6.1,6.1,6.3,6.5,6.7,6.9,6.9,6.7,6.7,6.1,5.9,6.0,5.8,5.7,5.8,5.9,5.9
,Synthetic Rubber in Tires,0.3,0.5,0.7,1.0,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.4,1.5,1.6,1.6,1.6,1.7,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.2,1.2
,Carbon Black in Tires,0.4,0.6,0.9,1.2,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2.0,2.1,2.3,2.1,1.9,1.8,1.7,1.5,1.4,1.4,1.5
,Synthetic Rubber in MSW,0.9,0.8,0.9,0.8,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7
,Synthetic Fibers,0.8,0.8,0.9,0.9,1.0,1.1,1.2,1.1,1.0,1.0,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.3,1.3,1.3
,CH4,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.4,0.4,0.4,0.3,0.3,+,+,+,+,+
,N2O,0.5,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.4,+,+,+,+,+,0.3,0.3,0.3,0.3,0.3
,Total,8.4,8.3,9.9,10.2,11.3,11.7,12.3,12.3,11.2,11.4,11.5,11.8,12.2,12.5,12.8,12.8,12.9,13.1,12.2,11.7,11.4,10.9,10.7,10.7,10.9,11.0
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,
